Business Name,Area,Category,Profile URL,Listing Source,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
Real World Group,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/real-world-group-in-samatha-colony-toli-chowki-hyderabad-2541558/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Real World Group,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Real+World+Group&per_page=5,,,,,,,,,,,,
BAVITHAA BUSINESS SOLUTIONS,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/bavithaa-business-solutions-in-rayanapadu-vijayawada-1476491/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,BAVITHAA BUSINESS SOLUTIONS,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=BAVITHAA+BUSINESS+SOLUTIONS&per_page=5,,,,,,,,,,,,
Naagarathnam Infraa,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/naagarathnam-infraa-in-padmavathypuram-tirupati-325637/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Naagarathnam Infraa,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Naagarathnam+Infraa&per_page=5,,,,,,,,,,,,
Satya Sai Homes,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/satya-sai-homes-in-hitech-city-hyderabad-1726083/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Satya Sai Homes,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Satya+Sai+Homes&per_page=5,,,,,,,,,,,,
Rich Homes Pvt.Ltd,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/rich-homes-pvt-ltd-in-malakpet-hyderabad-3944169/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Rich Homes Pvt.Ltd,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Rich+Homes+Pvt.Ltd&per_page=5,,,,,,,,,,,,
D FM SOLUTIONS,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/d-fm-solutions-in-kapra-hyderabad-1804660/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,D FM SOLUTIONS,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=D+FM+SOLUTIONS&per_page=5,,,,,,,,,,,,
Casagrand Premier Builder Limited,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/casagrand-premier-builder-limited-in-thiruvanmiyur-chennai-3974885/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Casagrand Premier Builder Limited,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Casagrand+Premier+Builder+Limited&per_page=5,,,,,,,,,,,,
MHK Property services,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/mhk-property-services-in-shamshabad-hyderabad-3961460/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,MHK Property services,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=MHK+Property+services&per_page=5,,,,,,,,,,,,
Muppa Projects India Private Limited,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/muppa-projects-india-private-limited-in-adikmet-hyderabad-1592261/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Muppa Projects India Private Limited,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Muppa+Projects+India+Private+Limited&per_page=5,,,,,,,,,,,,
Anuhar Homes,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/anuhar-homes-in-adikmet-hyderabad-792980/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Anuhar Homes,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Anuhar+Homes&per_page=5,,,,,,,,,,,,
PVR Developers India Pvt Ltd,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/pvr-developers-india-pvt-ltd-in-shankarpally-rangareddy-2638880/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,PVR Developers India Pvt Ltd,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=PVR+Developers+India+Pvt+Ltd&per_page=5,,,,,,,,,,,,
Diar Luxury,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/diar-luxury-in-kondapur-hyderabad-3539322/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Diar Luxury,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Diar+Luxury&per_page=5,,,,,,,,,,,,
SIRI Constructions,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/siri-constructions-in-adikmet-hyderabad-874368/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,SIRI Constructions,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=SIRI+Constructions&per_page=5,,,,,,,,,,,,
Best Properties Hyderabad,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/best-properties-hyderabad-in-kondapur-hyderabad-1587811/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Best Properties Hyderabad,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Best+Properties+Hyderabad&per_page=5,,,,,,,,,,,,
Suvarna Properties,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/suvarna-properties-in-mutyalampadu-vijayawada-989001/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Suvarna Properties,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Suvarna+Properties&per_page=5,,,,,,,,,,,,
SPACE STATION,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/space-station-in-madanapalle-chittoor-1255676/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,SPACE STATION,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=SPACE+STATION&per_page=5,space station,0002055592,United States,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002055592,,,,,
Bhanodaya Constructions,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/bhanodaya-constructions-in-pragathi-nagar-hyderabad-2111573/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,Bhanodaya Constructions,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Bhanodaya+Constructions&per_page=5,,,,,,,,,,,,
makaan4u.com,Gachibowli,Real Estate Builder/Developer,https://www.realestateindia.com/profile/makaan4u-com-in-adikmet-hyderabad-107127/,https://www.realestateindia.com/builders-developers-in-gachibowli-hyderabad.htm,makaan4u.com,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=makaan4u.com&per_page=5,,,,,,,,,,,,
