Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
GirlFriend Mandi,Gachibowli,restaurants,https://www.google.com/maps/place/GirlFriend+Mandi/data=!4m7!3m6!1s0x3bcb938b2aeb7bd3:0xc77048d96630a89d!8m2!3d17.4278168!4d78.3282167!16s%2Fg%2F11ts199rt6!19sChIJ03vrKouTyzsRnagwZtlIcMc?authuser=0&hl=en&rclk=1,"Plot Nos.4 and 5, Road situated at, Q City - A Block, No.2-162/2, BBR Arcade, Gopan Pally, Hyderabad, Telangana 500032",074024 74024,,4.8,"24,464","C8HH+47 Hyderabad, Telangana",,
Green Bawarchi Restaurant gachibowli main road,Gachibowli,restaurants,https://www.google.com/maps/place/Green+Bawarchi+Restaurant+gachibowli+main+road/data=!4m7!3m6!1s0x3bcb933d4e624717:0xb83e1d44e5711df0!8m2!3d17.4413397!4d78.359356!16s%2Fg%2F11zjwvk5lr!19sChIJF0diTj2TyzsR8B1x5UQdPrg?authuser=0&hl=en&rclk=1,"beside Bata Showroom, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",099894 86270,,4.3,220,"C9R5+GP Hyderabad, Telangana",,
Hyderabad Spicy Kitchen & Bar,Gachibowli,restaurants,https://www.google.com/maps/place/Hyderabad+Spicy+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3bcb930012988d9f:0xcf0b6f062cdb49bf!8m2!3d17.4459444!4d78.3529572!16s%2Fg%2F11x7cw9rhr!19sChIJn42YEgCTyzsRv0nbLAZvC88?authuser=0&hl=en&rclk=1,"FCL Employees Co -op Housing Society, plot No; 8 & 11, DLF Rd, beside DLF Street Food, FCI Employees Cooperative Housing Society, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",097010 98899,https://zomato.onelink.me,4.6,721,"C9W3+95 Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed,
Naidu Gari Kunda Biryani - Gachibowli,Gachibowli,restaurants,https://www.google.com/maps/place/Naidu+Gari+Kunda+Biryani+-+Gachibowli/data=!4m7!3m6!1s0x3bcb9328b22bb20f:0x41a6ab8bce721c1e!8m2!3d17.4427052!4d78.3556809!16s%2Fg%2F11shstkhyw!19sChIJD7IrsiiTyzsRHhxyzourpkE?authuser=0&hl=en&rclk=1,"26P, 3rd Floor, Gachibowli Central, Plot No. 141, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",094262 33939,,4.5,"4,374","C9V4+37 Hyderabad, Telangana",,
Pakka Local Gachibowli,Gachibowli,restaurants,https://www.google.com/maps/place/Pakka+Local+Gachibowli/data=!4m7!3m6!1s0x3bcb931f6c0f8191:0x585bf8c948d7733a!8m2!3d17.4429855!4d78.3572788!16s%2Fg%2F11fhz0kxm_!19sChIJkYEPbB-TyzsROnPXSMn4W1g?authuser=0&hl=en&rclk=1,"HP Petrol Pump, Rajiv gandhi Nagar, Gachibowli, Serilingampalle (M), Hyderabad, Telangana 500032",093164 84950,,4.3,"9,495","C9V4+5W Serilingampalle (M), Telangana",· 11:30 pm · Opens 11:30 am Wed; Tuesday 11:30 am–11:30 pm; Wednesday 11:30 am–11:30 pm; Thursday 11:30 am–11:30 pm; Friday 11:30 am–11:30 pm; Saturday 11:30 am–11:30 pm; Sunday 11:30 am–11:30 pm; Monday 11:30 am–11:30 pm,
Smoky Docky DLF Hyderabad,Gachibowli,restaurants,https://www.google.com/maps/place/Smoky+Docky+DLF+Hyderabad/data=!4m7!3m6!1s0x3bcb932e2b3a0a1d:0x45135b992ec19244!8m2!3d17.4485123!4d78.3577695!16s%2Fg%2F11s9d8zg6k!19sChIJHQo6Ky6TyzsRRJLBLplbE0U?authuser=0&hl=en&rclk=1,"Phase 6, &, 7 Road, APHB Colony, Andhra Pradesh Housing Board Phase-IV, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",076740 07640,,4.1,"2,610","C9X5+C4 Hyderabad, Telangana",· Closes 12:30 am,
"ASF - Lava Stone Buffet Restaurant | Gachibowli, Hyderabad",Gachibowli,restaurants,"https://www.google.com/maps/place/ASF+-+Lava+Stone+Buffet+Restaurant+%7C+Gachibowli,+Hyderabad/data=!4m7!3m6!1s0x3bcb9397f8b53a63:0xbd53ea5327929555!8m2!3d17.4429996!4d78.3548002!16s%2Fg%2F11kk7nr881!19sChIJYzq1-JeTyzsRVZWSJ1PqU70?authuser=0&hl=en&rclk=1","1st Floor, Times Square, Vinayak Nagar, Indira Nagar, Gachibowli, Serilingampalle (M), Hyderabad, Telangana 500032",088818 86878,,4.6,"9,407","C9V3+5W Serilingampalle (M), Telangana",· 11:30 pm · Opens 11:30 am Wed,
Sedyam Telugu Kitchen Gachibowli,Gachibowli,restaurants,https://www.google.com/maps/place/Sedyam+Telugu+Kitchen+Gachibowli/data=!4m7!3m6!1s0x3bcb935217767dbd:0x993fb7d5b741979b!8m2!3d17.4427628!4d78.3560186!16s%2Fg%2F11yqckqvys!19sChIJvX12F1KTyzsRm5dBt9W3P5k?authuser=0&hl=en&rclk=1,"opp. Sandhya Convention, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",097050 20999,https://order.sedyamtelugukitchen.com,4.8,"1,098","C9V4+4C Hyderabad, Telangana",,
Patiala Plate - Authentic Punjabi Food on the go,Gachibowli,restaurants,https://www.google.com/maps/place/Patiala+Plate+-+Authentic+Punjabi+Food+on+the+go/data=!4m7!3m6!1s0x3bcb93e26162c195:0x4393f3a655447e13!8m2!3d17.4421755!4d78.3568354!16s%2Fg%2F11w7gcpzjr!19sChIJlcFiYeKTyzsRE35EVabzk0M?authuser=0&hl=en&rclk=1,"Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",070759 26597,https://restaurant-web-builder.replit.app,4.7,"2,440","C9R4+VP Hyderabad, Telangana",· 11:30 pm · Opens 11:30 am Wed; Tuesday 11:30 am–11:30 pm; Wednesday 11:30 am–11:30 pm; Thursday 11:30 am–11:30 pm; Friday 11:30 am–12 am; Saturday 11:30 am–11:30 pm; Sunday 11:30 am–11:30 pm; Monday 11:30 am–11:30 pm,
Tanah Kitchen & Bar,Gachibowli,restaurants,https://www.google.com/maps/place/Tanah+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3bcb93f770cc7c7f:0xfa70c1eecea6f311!8m2!3d17.4434109!4d78.3678091!16s%2Fg%2F11nb5r7_c6!19sChIJf3zMcPeTyzsREfOmzu7BcPo?authuser=0&hl=en&rclk=1,"5th Floor, opp. Meenakshi Bamboos Road, near AIG Hospital, P Janardhan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",089777 30291,,4.7,236,"C9V9+94 Hyderabad, Telangana",,
"AB's - Absolute Barbecues | Gachibowli, Hyderabad",Gachibowli,restaurants,"https://www.google.com/maps/place/AB%27s+-+Absolute+Barbecues+%7C+Gachibowli,+Hyderabad/data=!4m7!3m6!1s0x3bcb939592f07d0d:0xa3320224b223e9e6!8m2!3d17.442888!4d78.357344!16s%2Fg%2F11b6sp1f7f!19sChIJDX3wkpWTyzsR5ukjsiQCMqM?authuser=0&hl=en&rclk=1","2nd Floor, Besides HP Petrol Pump, Apurupa Silpi, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",073373 83763,https://www.absolutebarbecues.com/,4.2,"31,133","C9V4+5W Hyderabad, Telangana",· 11:30 pm · Opens 11:30 am Wed; Tuesday 11:30 am–4:30 pm; 6:30–11:30 pm; Wednesday 11:30 am–4:30 pm; 6:30–11:30 pm; Thursday 11:30 am–4:30 pm; 6:30–11:30 pm; Friday 11:30 am–4:30 pm; 6:30–11:30 pm; Saturday 11:30 am–4:30 pm; 6:30–11:30 pm; Sunday 11:30 am–4:30 pm; 6:30–11:30 pm; Monday 11:30 am–4:30 pm,
The Glass Onion,Gachibowli,restaurants,https://www.google.com/maps/place/The+Glass+Onion/data=!4m7!3m6!1s0x3bcb93a068beb5a5:0xe9c0ab66ca066dac!8m2!3d17.4320661!4d78.3536453!16s%2Fg%2F11fj0jy3f9!19sChIJpbW-aKCTyzsRrG0GymarwOk?authuser=0&hl=en&rclk=1,"The Glass Onion , Next to Infosys, Boulder Hills Madhava Reddy Colony Opp ISB, Gachibowli, Hyderabad, Telangana 50003, Hyderabad, Telangana 500032",091212 39551,https://theglassonion.co.in,4.2,"7,058","C9J3+RF Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed; Tuesday 12–11:30 pm; Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12–11:30 pm; Saturday 12–11:30 pm; Sunday 12–11:30 pm; Monday 12–11:30 pm,
Chirp,Gachibowli,restaurants,https://www.google.com/maps/place/Chirp/data=!4m7!3m6!1s0x3bcb937cb6cc9269:0xfb5b6564baadbe67!8m2!3d17.4521688!4d78.3628006!16s%2Fg%2F11l5dpht43!19sChIJaZLMtnyTyzsRZ76tumRlW_s?authuser=0&hl=en&rclk=1,"Level 3, Mall, Jayabheri Enclave, Gachibowli, Hyderabad, Telangana 500032",095151 05007,,4.4,"1,773","F927+V4 Hyderabad, Telangana",,
CoalSpark Multi Cuisine Restaurant,Gachibowli,restaurants,https://www.google.com/maps/place/CoalSpark+Multi+Cuisine+Restaurant/data=!4m7!3m6!1s0x3bcb9385a5ac0b53:0xbe4fdbbeac0bcb62!8m2!3d17.4498809!4d78.3641849!16s%2Fg%2F11qbxzx6gc!19sChIJUwuspYWTyzsRYssLrL7bT74?authuser=0&hl=en&rclk=1,"Gachibowli - Miyapur Rd, opp. Platina Mall, Banjara Basthi, Anjaiah Nagar, Gachibowli, Hyderabad, Telangana 500084",096038 44449,,4.5,"14,947","C9X7+XM Hyderabad, Telangana",· 12 am · Opens 11:30 am Wed; Tuesday 11:30 am–12 am; Wednesday 11:30 am–12 am; Thursday 11:30 am–12 am; Friday 11:30 am–12 am; Saturday 11:30 am–12 am; Sunday 11:30 am–12 am; Monday 11:30 am–12 am; · Opens 8:30 am Wed,
Palle vindu,Gachibowli,restaurants,https://www.google.com/maps/place/Palle+vindu/data=!4m7!3m6!1s0x3bcb936064d2fcf5:0x5eaf3349d2c26453!8m2!3d17.4472411!4d78.3617684!16s%2Fg%2F11rrv07t1f!19sChIJ9fzSZGCTyzsRU2TC0kkzr14?authuser=0&hl=en&rclk=1,"plot no:25, Jayabheri Enclave, Gachibowli, Hyderabad, Telangana 500032",077999 97883,,4.3,"10,999","C9W6+VP Hyderabad, Telangana",Tuesday 12–4:30 pm; Wednesday 12–4:30 pm; Thursday 12–4:30 pm; Friday 12–4:30 pm; Saturday 12–4:30 pm; Sunday 12–4:30 pm; Monday 12–4:30 pm,
The Nawaab's Restaurant,Gachibowli,restaurants,https://www.google.com/maps/place/The+Nawaab%27s+Restaurant/data=!4m7!3m6!1s0x3bcb93ad7d05ec85:0xd6f18f4bb70a96e4!8m2!3d17.4417491!4d78.3671622!16s%2Fg%2F11w1r8y626!19sChIJhewFfa2TyzsR5JYKt0uP8dY?authuser=0&hl=en&rclk=1,"Babukhan Ln, behind AIG hospital, P Janardhan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",089778 68957,https://in.docworkspace.com,4.6,"1,351","C9R8+MV Hyderabad, Telangana",· 11:30 pm · Opens 12 pm Wed; Tuesday 12–11:30 pm; Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12–11:30 pm; Saturday 12–11:30 pm; Sunday 12–11:30 pm; Monday 12–11:30 pm,
Arabian Corner Restaurant - Skylounge,Gachibowli,restaurants,https://www.google.com/maps/place/Arabian+Corner+Restaurant+-+Skylounge/data=!4m7!3m6!1s0x3bcb933254ac7fdd:0xbf5e95b14e49875f!8m2!3d17.4359303!4d78.3666069!16s%2Fg%2F11g1lrvd5p!19sChIJ3X-sVDKTyzsRX4dJTrGVXr8?authuser=0&hl=en&rclk=1,"2-48/6, Sri Shyam Nagar, Telecom Nagar Extension, Gachibowli, Hyderabad, Telangana 500032",098851 96008,,4.1,"1,582","C9P8+9J Hyderabad, Telangana",,
