Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error,_l2_gmaps_url,_l2_gmaps_error,_l2_homepage_title,_l2_homepage_description,_l2_homepage_emails,_l2_homepage_phones,_l2_homepage_linkedin,_l2_homepage_facebook,_l2_homepage_twitter,_l2_homepage_instagram,_l2_homepage_youtube,_l2_homepage_github,_l2_homepage_contact_url,_l2_homepage_about_url,_l2_homepage_careers_url,_l2_homepage_blog_url,_l2_homepage_tech_stack,_l2_homepage_founded_year,_l2_homepage_employee_count,_l2_homepage_headquarters,_l2_homepage_error,_l2_enriched_at,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
Illu The Restaurant,Jubilee Hills,restaurants,https://www.google.com/maps/place/Illu+The+Restaurant/data=!4m7!3m6!1s0x3bcb916b2d393439:0x1b42cf3b58cdf68a!8m2!3d17.432174!4d78.3988215!16s%2Fg%2F11m5kc0t8l!19sChIJOTQ5LWuRyzsRivbNWDvPQhs?authuser=0&hl=en&rclk=1,"775D, Masthan Nagar, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",090324 35511,,4.8,"4,248","C9JX+VG Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Illu The Restaurant,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Illu+The+Restaurant&per_page=5,,,,,,,,,,,,
Noho Progressive Asian House,Jubilee Hills,restaurants,https://www.google.com/maps/place/Noho+Progressive+Asian+House/data=!4m7!3m6!1s0x3bcb912c4ad7bfdf:0x2b369dc10cd2f!8m2!3d17.4271505!4d78.406045!16s%2Fg%2F11vtbp09w2!19sChIJ37_XSiyRyzsRL80Q3GmzAgA?authuser=0&hl=en&rclk=1,"Plot no 1057/G, Road No. 45 Jubilee Hills, beside SBI Bank, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033",085848 58431,https://zomato.onelink.me,4.5,973,"CCG4+VC Hyderabad, Telangana",Wednesday 12–4:30 pm; 7–11:30 pm; Thursday 12–4:30 pm; 7–11:30 pm; Friday 12–4:30 pm; Saturday 12–4:30 pm; Sunday 12–4:30 pm; 7–11:45 pm; Monday 12–4:30 pm; 7–11:45 pm; Tuesday 12–4:30 pm; 7–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Noho Progressive Asian House,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Noho+Progressive+Asian+House&per_page=5,,,,,,,,,,,,
Mairu Bistro,Jubilee Hills,restaurants,https://www.google.com/maps/place/Mairu+Bistro/data=!4m7!3m6!1s0x3bcb91fb5b67cd15:0x8c9715cda0bef87b!8m2!3d17.4333475!4d78.4038009!16s%2Fg%2F11ts6fnq1r!19sChIJFc1nW_uRyzsRe_i-oM0Vl4w?authuser=0&hl=en&rclk=1,"815-A, Rd Number 41, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",091071 46999,,4.4,"2,543","CCM3+8G Hyderabad, Telangana",Wednesday 11 am–11:45 pm; Thursday 11 am–11:45 pm; Friday 11 am–12:30 am; Saturday 11 am–12:30 am; Sunday 11 am–12:30 am; Monday 11 am–11:45 pm; Tuesday 11 am–11:45 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Mairu Bistro,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Mairu+Bistro&per_page=5,,,,,,,,,,,,
AnTeRa Kitchen and Bar,Jubilee Hills,restaurants,https://www.google.com/maps/place/AnTeRa+Kitchen+and+Bar/data=!4m7!3m6!1s0x3bcb911f6bb4353b:0xb2d5f2b952c3718!8m2!3d17.4344959!4d78.4141615!16s%2Fg%2F11r99ccnjm!19sChIJOzW0ax-RyzsRGDcslStfLQs?authuser=0&hl=en&rclk=1,"Plot no, 265/A, Road Number 10, Jubilee Hills, Hyderabad, Telangana 500033",073737 34634,,4.2,"14,053","CCM7+QM Hyderabad, Telangana",Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12 pm–12:30 am; Saturday 12 pm–12:30 am; Sunday 12–11:30 pm; Monday 12–11:30 pm; Tuesday 12–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,AnTeRa Kitchen and Bar,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=AnTeRa+Kitchen+and+Bar&per_page=5,,,,,,,,,,,,
"AB's - Absolute Barbecues | Jubilee Hills, Hyderabad",Jubilee Hills,restaurants,"https://www.google.com/maps/place/AB%27s+-+Absolute+Barbecues+%7C+Jubilee+Hills,+Hyderabad/data=!4m7!3m6!1s0x3bcb9144f01c0ffd:0x1f4e06dec2e0992d!8m2!3d17.4383896!4d78.3978482!16s%2Fg%2F11b5z19bf8!19sChIJ_Q8c8ESRyzsRLZngwt4GTh8?authuser=0&hl=en&rclk=1","4th Floor, Above Bajaj Electronics, Plot No. 722, Road No: 36 Pammasani Complex, 722, Road No. 36, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",073373 83763,https://www.absolutebarbecues.com/,4.2,"35,960","C9QX+94 Hyderabad, Telangana",· Opens 11:30 am; Wednesday 11:30 am–5 pm; 6:30–11:30 pm; Thursday 11:30 am–5 pm; 6:30–11:30 pm; Friday 11:30 am–5 pm; 6:30–11:30 pm; Saturday 11:30 am–5 pm; 6:30–11:30 pm; Sunday 11:30 am–5 pm; 6:30–11:30 pm; Monday 11:30 am–5 pm; 6:30–11:30 pm; Tuesday 11:30 am–5 pm,,,,Absolute Barbecues - Best Buffet Grill Restaurant Near You,"Enjoy the best barbecue at ABs! Indulge in grilled delicacies, buffet options, and international flavors. Book your table now for an unforgettable experience!",,,,https://www.facebook.com/AbsoluteBarbecuesIndia,https://twitter.com/absolutebbq,https://www.instagram.com/absolute_barbecues,https://www.youtube.com/channel/UCh6gXoSTpOR2-v2WEL_iV8A,,,,https://www.absolutebarbecues.com/career-opportunities,https://www.absolutebarbecues.com/blogs,,,,,,2026-07-01T01:42:59.454149,"AB's - Absolute Barbecues | Jubilee Hills, Hyderabad",,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=AB%27s+-+Absolute+Barbecues+%7C+Jubilee+Hills%2C+Hyderabad&per_page=5,,,,,,,,,,,,
Krishnapatnam,Jubilee Hills,restaurants,https://www.google.com/maps/place/Krishnapatnam/data=!4m7!3m6!1s0x3bcb910e91bf5833:0xc3f7a9857520b52!8m2!3d17.4298955!4d78.4112687!16s%2Fg%2F11h04nxcnp!19sChIJM1i_kQ6RyzsRUgtSV5h6Pww?authuser=0&hl=en&rclk=1,"3rd floor, shreshta aura, Road No. 36, Jubilee Hills, Hyderabad, Telangana 500033",091696 95566,,4.5,"28,011","CCH6+XG Hyderabad, Telangana",Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12–11:30 pm; Saturday 12–11:30 pm; Sunday 12–11:30 pm; Monday 12–11:30 pm; Tuesday 12–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Krishnapatnam,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Krishnapatnam&per_page=5,Krishnapatnam,,India,,,,,,,,,
Olive Bistro & Bar,Jubilee Hills,restaurants,https://www.google.com/maps/place/Olive+Bistro+%26+Bar/data=!4m7!3m6!1s0x3bcb91510ac7d405:0x9978c4a55a524e8d!8m2!3d17.4295492!4d78.3927274!16s%2Fg%2F1pv5xxsky!19sChIJBdTHClGRyzsRjU5SWqXEeJk?authuser=0&hl=en&rclk=1,"Durgam Cheruvu At Kona's, Road No 46, Jubilee Hills, Hyderabad, Telangana 500033",092489 12347,,4.3,"8,967","C9HV+R3 Hyderabad, Telangana",Wednesday 12–3:30 pm; 7–11:30 pm; Thursday 12–3:30 pm; 7–11:30 pm; Friday 12–3:30 pm; Saturday 12–3:30 pm; Sunday 12–3:30 pm; 7–11:30 pm; Monday 12–3:30 pm; 7–11:30 pm; Tuesday 12–3:30 pm; 7–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Olive Bistro & Bar,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Olive+Bistro+%26+Bar&per_page=5,,,,,,,,,,,,
Tatva Restaurant - Jubilee Hills,Jubilee Hills,restaurants,https://www.google.com/maps/place/Tatva+Restaurant+-+Jubilee+Hills/data=!4m7!3m6!1s0x3bcb913429fa2159:0x591071f68accd7c5!8m2!3d17.4293!4d78.410124!16s%2Fg%2F11c5bhqh53!19sChIJWSH6KTSRyzsRxdfMivZxEFk?authuser=0&hl=en&rclk=1,"Building, 1st Floor, S L Jubilee, Building, 1st Floor, 1215/A, Road No. 36, Jubilee Hills, Hyderabad, Telangana 500033",079950 28026,,4.3,"6,040","CCH6+P2 Hyderabad, Telangana",Wednesday 12–3:30 pm; 7–11:30 pm; Thursday 12–3:30 pm; 7–11:30 pm; Friday 12–3:30 pm; 7–11:30 pm; 12–3:30 pm; 7–11:30 pm; 12–3:30 pm; 7–11:30 pm; Monday 12–3:30 pm; 7–11:30 pm; Tuesday 12–3:30 pm; 7–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Tatva Restaurant - Jubilee Hills,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Tatva+Restaurant+-+Jubilee+Hills&per_page=5,,,,,,,,,,,,
So The Sky Kitchen,Jubilee Hills,restaurants,https://www.google.com/maps/place/So+The+Sky+Kitchen/data=!4m7!3m6!1s0x3bcb96ce4762a5eb:0x5aab623bc2161f21!8m2!3d17.416204!4d78.416921!16s%2Fg%2F1tg33nz3!19sChIJ66ViR86WyzsRIR8Wwjtiq1o?authuser=0&hl=en&rclk=1,"4th floor, No.550-F, Aryans building, Road No. 92, Jubilee Hills, Hyderabad, Telangana 500033",,https://sotheskykitchen.petpooja.com,4.0,"2,995","CC88+FQ Hyderabad, Telangana",,,,,Error,It seems you have ended up at the wrong address of your outlet.,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,So The Sky Kitchen,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=So+The+Sky+Kitchen&per_page=5,,,,,,,,,,,,
Telangana Spice Kitchen Bar & Grill,Jubilee Hills,restaurants,https://www.google.com/maps/place/Telangana+Spice+Kitchen+Bar+%26+Grill/data=!4m7!3m6!1s0x3bcb914e2a4abb2b:0x7093e8c191ee0848!8m2!3d17.4333531!4d78.40823!16s%2Fg%2F11f5zsvrgk!19sChIJK7tKKk6RyzsRSAjukcHok3A?authuser=0&hl=en&rclk=1,"Plot no, 373, Road Number 10, AND 22, Jubilee Hills, Hyderabad, Telangana 500033",077026 92288,,4.2,"10,108","CCM5+87 Hyderabad, Telangana",Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Monday 12–11:30 pm; Tuesday 12–11:30 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Telangana Spice Kitchen Bar & Grill,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Telangana+Spice+Kitchen+Bar+%26+Grill&per_page=5,,,,,,,,,,,,
