Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
Chaitanya Food Court,Kukatpally,restaurants,https://www.google.com/maps/place/Chaitanya+Food+Court/data=!4m7!3m6!1s0x3bcb918eb79a9a9d:0x4490985d58256f3c!8m2!3d17.4850746!4d78.3905733!16s%2Fg%2F1ptymrp33!19sChIJnZqat46RyzsRPG8lWF2YkEQ?authuser=0&hl=en&rclk=1,"Circle, MIG 25-26, JNTU - Hitech City Rd, near nexus mall, Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085",096184 47733,http://www.chaitanyafoodcourt.com,4.0,"27,650","F9PR+26 Hyderabad, Telangana",· Closes 10:30 pm; Wednesday 7 am–10:30 pm; Thursday 7 am–10:30 pm; Friday 7 am–10:30 pm; Saturday 7 am–10:30 pm; Sunday 7 am–10:30 pm; Monday 7 am–10:30 pm; Tuesday 7 am–10:30 pm,
Ulavacharu Restaurant & Banquets Kukatpally,Kukatpally,restaurants,https://www.google.com/maps/place/Ulavacharu+Restaurant+%26+Banquets+Kukatpally/data=!4m7!3m6!1s0x3bcb91d9cb159c49:0x9edeb727d1aff81a!8m2!3d17.4987441!4d78.3860795!16s%2Fg%2F11m637krkn!19sChIJSZwVy9mRyzsRGviv0Se33p4?authuser=0&hl=en&rclk=1,"Metro Station, NH 65, Jawaharlal Nehru Technological University, Dharma Reddy Colony Phase II, Dharma Reddy Colony Phase I, Kukatpally, Hyderabad, Telangana 500085",099121 11124,,4.6,809,"F9XP+FC Hyderabad, Telangana",· Opens 11:30 am; Wednesday 11:30 am–11:30 pm; Thursday 11:30 am–11:30 pm; Friday 11:30 am–11:30 pm; Saturday 11:30 am–11:30 pm; Sunday 11:30 am–11:30 pm; Monday 11:30 am–11:30 pm; Tuesday 11:30 am–11:30 pm,
Chowman (Kukatpally),Kukatpally,restaurants,https://www.google.com/maps/place/Chowman+%28Kukatpally%29/data=!4m7!3m6!1s0x3bcb91ee80cbb483:0xdc68574118bc35ea!8m2!3d17.4942308!4d78.4113323!16s%2Fg%2F11l22spb0h!19sChIJg7TLgO6RyzsR6jW8GEFXaNw?authuser=0&hl=en&rclk=1,"ground floor, Plot no.532, Diagonally, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072",092309 97408,https://orders.chowman.net,4.6,"1,409","FCV6+MG Hyderabad, Telangana",,
Flechazo Kukatpally,Kukatpally,restaurants,https://www.google.com/maps/place/Flechazo+Kukatpally/data=!4m7!3m6!1s0x3bcb91736fef407b:0xfc16bc061a76e27c!8m2!3d17.495671!4d78.3995425!16s%2Fg%2F11rkn7_1s6!19sChIJe0Dvb3ORyzsRfOJ2Gga8Fvw?authuser=0&hl=en&rclk=1,"4th Floor, PNR EMPIRE, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072",093929 18941,,4.1,"3,007","F9WX+7R Hyderabad, Telangana",· Opens 11:30 am; Wednesday 11:30 am–4 pm; Thursday 11:30 am–4 pm; Friday 11:30 am–4 pm; Saturday 11:30 am–4 pm; Sunday 11:30 am–4 pm; Monday 11:30 am–4 pm; Tuesday 11:30 am–4 pm,
New Chillies Restaurant & Banquets,Kukatpally,restaurants,https://www.google.com/maps/place/New+Chillies+Restaurant+%26+Banquets/data=!4m7!3m6!1s0x3bcb91440160b55b:0x26409df00cae47e8!8m2!3d17.4974629!4d78.3921983!16s%2Fg%2F11lkzzxgn_!19sChIJW7VgAUSRyzsR6EeuDPCdQCY?authuser=0&hl=en&rclk=1,"Ashok Nagar, Kukatpally, Hyderabad, Telangana 500085",083176 22661,,4.4,"2,741","F9WR+XV Hyderabad, Telangana",Wednesday 11 am–11:45 pm; Thursday 11 am–11:45 pm; Friday 11 am–11:45 pm; Saturday 11 am–11:45 pm; Sunday 11 am–11:45 pm; Monday 11 am–11:45 pm; Tuesday 11 am–11:45 pm,
East & West Kitchen (KPHB),Kukatpally,restaurants,https://www.google.com/maps/place/East+%26+West+Kitchen+%28KPHB%29/data=!4m7!3m6!1s0x3bcb9100784a68a1:0x2a33c309a5edec5d!8m2!3d17.4854192!4d78.3891371!16s%2Fg%2F11w7fn5s1k!19sChIJoWhKeACRyzsRXeztpQnDMyo?authuser=0&hl=en&rclk=1,"Ground Floor, Forum Mall, P.No -4, Plot No.20/9, Vasanth Nagar Main Rd, near Nexus, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500072",079815 16906,,4.6,472,"F9PQ+5M Hyderabad, Telangana",Wednesday 12–11:30 pm; Thursday 12–11:30 pm; Friday 12–11:30 pm; Saturday 12–11:30 pm; Sunday 12–11:30 pm; Monday 12–11:30 pm; Tuesday 12–11:30 pm,
Pondy Parottas,Kukatpally,restaurants,https://www.google.com/maps/place/Pondy+Parottas/data=!4m7!3m6!1s0x3bcb918dd49f74a9:0x29a66ae6120234b7!8m2!3d17.4884416!4d78.3937405!16s%2Fg%2F11gnt3gvmv!19sChIJqXSf1I2RyzsRtzQCEuZqpik?authuser=0&hl=en&rclk=1,"HIG 75, near Manjeera Mall, Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500072",081860 04000,,3.8,"4,622","F9QV+9F Hyderabad, Telangana",,
Destination Cafe - Best Cafe in KPHB,Kukatpally,cafes,https://www.google.com/maps/place/Destination+Cafe+-+Best+Cafe+in+KPHB/data=!4m7!3m6!1s0x3bcb91f3b1a53be7:0x8c43c960005f0359!8m2!3d17.4868846!4d78.3884133!16s%2Fg%2F11ny279kgz!19sChIJ5zulsfORyzsRWQNfAGDJQ4w?authuser=0&hl=en&rclk=1,"574, KPHB 6th Phase Rd, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085",099850 76767,,4.4,"1,300","F9PQ+Q9 Hyderabad, Telangana",Wednesday 11 am–10:45 pm; Thursday 11 am–10:45 pm; Friday 11 am–10:45 pm; Saturday 11 am–10:45 pm; Sunday 11 am–10:45 pm; Monday 11 am–10:45 pm; Tuesday 11 am–10:45 pm,
The Hashtag Cafe KPHB,Kukatpally,cafes,https://www.google.com/maps/place/The+Hashtag+Cafe+KPHB/data=!4m7!3m6!1s0x3bcb93fbf614fdf3:0x8b63297298f6115b!8m2!3d17.4827678!4d78.3801278!16s%2Fg%2F11rmnfl8wc!19sChIJ8_0U9vuTyzsRWxH2mHIpY4s?authuser=0&hl=en&rclk=1,"Gokul Plots, 1291,kphb 9th phase, Above RedBucket Biryani, 6thfloor, opposite to Prajay Megapolis, Vasanth Nagar, Hyderabad, Telangana 500085",,,4.2,"1,282","F9MJ+43 Hyderabad, Telangana",· Opens 11:30 am; Wednesday 11:30 am–11 pm; Thursday 11:30 am–11 pm; Friday 11:30 am–11 pm; Saturday 11:30 am–11 pm; Sunday 11:30 am–11 pm; Monday 11:30 am–11 pm; Tuesday 11:30 am–11 pm,
ARM Coffee Place By Jay @ Kukatpally,Kukatpally,cafes,https://www.google.com/maps/place/ARM+Coffee+Place+By+Jay+@+Kukatpally/data=!4m7!3m6!1s0x3bcb930048777e11:0x12bb6b002b90e74d!8m2!3d17.4897802!4d78.3787293!16s%2Fg%2F11yrsgry5_!19sChIJEX53SACTyzsRTeeQKwBruxI?authuser=0&hl=en&rclk=1,"Sai Nath Enclave, Block F2,Gokul Plots, Venkataramana Colony, K P H B Phase 9, Hafeezpet, Hyderabad, Telangana 500085",,,4.8,83,"F9QH+WF Hyderabad, Telangana",· Closes 12:30 am; Wednesday 7 am–12:30 am; Thursday 7 am–12:30 am; Saturday 7 am–12:30 am; Sunday 7 am–12:30 am; Monday 7 am–12:30 am; Tuesday 7 am–12:30 am,
Cafe Club,Kukatpally,cafes,https://www.google.com/maps/place/Cafe+Club/data=!4m7!3m6!1s0x3bcb910c79df0eed:0x54ab1f4f0bcb6dc8!8m2!3d17.4719947!4d78.3889033!16s%2Fg%2F11k9s0wvjn!19sChIJ7Q7feQyRyzsRyG3LC08fq1Q?authuser=0&hl=en&rclk=1,"4th Phase, Kukatpally Housing Board Colony, K P H B Phase 4, Kukatpally, Hyderabad, Telangana 500085",095539 74438,,4.5,59,"F9CQ+QH Hyderabad, Telangana",,
